timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
17749.00;53.66;f_lane0_308.0;-1028163861#3_0;281.02;0.00;20.09;type_wiedemann;1254.59;286.13
17749.00;53.66;f_lane1_308.0;-1028163861#3_1;285.96;0.00;20.53;type_wiedemann;1256.57;291.56
17750.00;302.54;f_lane0_307.1;-1028163861#2_0;153.24;0.00;18.65;type_wiedemann;1331.39;514.95
17750.00;53.66;f_lane0_308.0;-1028163861#3_0;301.11;0.00;20.09;type_wiedemann;1270.79;298.05
17750.00;53.66;f_lane1_308.0;-1028163861#3_1;306.48;0.00;20.53;type_wiedemann;1273.09;303.71
17751.00;289.92;f_lane0_307.1;-1028163861#2_0;171.89;0.00;18.65;type_wiedemann;1314.09;522.43
17751.00;53.66;f_lane0_308.0;-1028163861#3_0;321.20;0.00;20.09;type_wiedemann;1287.00;309.97
17751.00;53.66;f_lane1_308.0;-1028163861#3_1;327.01;0.00;20.53;type_wiedemann;1289.60;315.86
17752.00;279.99;f_lane0_307.1;-1028163861#2_0;190.53;0.00;18.65;type_wiedemann;1295.82;527.07
17752.00;53.66;f_lane0_308.0;-1028163861#3_0;341.28;0.00;20.09;type_wiedemann;1303.20;321.89
17752.00;53.66;f_lane1_308.0;-1028163861#3_1;347.54;0.00;20.53;type_wiedemann;1306.12;328.00
17753.00;271.33;f_lane0_307.1;-1028163861#2_0;209.18;0.00;18.65;type_wiedemann;1277.03;528.47
17753.00;53.66;f_lane0_308.0;-1028163861#3_0;361.37;0.00;20.09;type_wiedemann;1319.40;333.81
17753.00;53.66;f_lane1_308.0;-1028163861#3_1;368.06;0.00;20.53;type_wiedemann;1322.63;340.15
17754.00;260.98;f_lane0_307.1;-1028163861#2_0;227.83;0.00;18.65;type_wiedemann;1258.26;526.50
17754.00;53.66;f_lane0_308.0;-1028163861#3_0;379.11;0.00;17.74;type_wiedemann;1333.71;344.33
17754.00;53.66;f_lane1_308.0;-1028163861#3_1;384.13;0.00;16.06;type_wiedemann;1335.56;349.66
17755.00;257.99;f_lane0_307.1;-1028163861#2_0;246.48;0.00;18.65;type_wiedemann;1239.76;522.73
