sep=;
timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;316.69;f_lane_390.0;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
1.00;316.69;f_lane_390.0;-0_0;7.13;0.00;2.03;type_krauss;560.74;388.61
2.00;315.90;f_lane_390.0;-0_0;11.53;0.00;4.39;type_krauss;557.67;391.76
3.00;313.96;f_lane_390.0;-0_0;18.48;0.00;6.96;type_krauss;552.67;396.59
3.00;316.69;f_lane_390.1;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
4.00;309.37;f_lane_390.0;-0_0;26.83;0.00;8.35;type_krauss;546.31;401.99
4.00;316.69;f_lane_390.1;-0_0;6.99;0.00;1.89;type_krauss;560.84;388.50
5.00;301.80;f_lane_390.0;-0_0;36.55;0.00;9.72;type_krauss;538.32;407.49
5.00;316.24;f_lane_390.1;-0_0;10.90;0.00;3.92;type_krauss;558.12;391.33
6.00;295.28;f_lane_390.0;-0_0;48.23;0.00;11.69;type_krauss;527.97;412.89
6.00;313.96;f_lane_390.1;-0_0;16.88;0.00;5.97;type_krauss;553.82;395.47
6.00;316.69;f_lane_390.2;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
7.00;288.44;f_lane_390.0;-0_0;62.10;0.00;13.87;type_krauss;514.99;417.71
7.00;309.56;f_lane_390.1;-0_0;25.02;0.00;8.14;type_krauss;547.71;400.84
7.00;316.69;f_lane_390.2;-0_0;7.50;0.00;2.40;type_krauss;560.49;388.88
8.00;278.03;f_lane_390.0;-0_0;78.31;0.00;16.20;type_krauss;499.10;420.80
8.00;302.62;f_lane_390.1;-0_0;34.86;0.00;9.84;type_krauss;539.76;406.60
8.00;315.81;f_lane_390.2;-0_0;11.69;0.00;4.19;type_krauss;557.55;391.87
9.00;266.38;f_lane_390.0;-0_0;96.95;0.00;18.65;type_krauss;480.50;421.20
9.00;295.28;f_lane_390.1;-0_0;46.90;0.00;12.05;type_krauss;529.18;412.32
9.00;313.96;f_lane_390.2;-0_0;17.86;0.00;6.16;type_krauss;553.12;396.15
9.00;316.69;f_lane_390.3;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
10.00;258.52;f_lane_390.0;-0_0;117.85;0.00;20.90;type_krauss;459.83;418.32
10.00;290.00;f_lane_390.1;-0_0;60.73;0.00;13.82;type_krauss;516.33;417.37
10.00;309.37;f_lane_390.2;-0_0;25.81;0.00;7.96;type_krauss;547.09;401.34
10.00;316.69;f_lane_390.3;-0_0;6.64;0.00;1.54;type_krauss;561.08;388.25
11.00;254.08;f_lane_390.0;-0_0;140.67;0.00;22.81;type_krauss;437.75;412.60
11.00;278.03;f_lane_390.1;-0_0;76.26;0.00;15.54;type_krauss;501.13;420.51
11.00;301.80;f_lane_390.2;-0_0;36.19;0.00;10.38;type_krauss;538.62;407.30
11.00;316.67;f_lane_390.3;-0_0;10.12;0.00;3.49;type_krauss;558.68;390.79
12.00;254.03;f_lane_390.0;-0_0;165.41;0.00;24.74;type_krauss;413.96;405.79
12.00;269.45;f_lane_390.1;-0_0;93.63;0.00;17.37;type_krauss;483.82;421.41
12.00;295.28;f_lane_390.2;-0_0;48.94;0.00;12.74;type_krauss;527.34;413.19
12.00;313.96;f_lane_390.3;-0_0;15.28;0.00;5.15;type_krauss;554.97;394.36
12.00;316.69;f_lane_390.4;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
13.00;254.03;f_lane_390.0;-0_0;191.73;0.00;26.32;type_krauss;388.66;398.54
13.00;261.09;f_lane_390.1;-0_0;113.27;0.00;19.64;type_krauss;464.32;419.24
13.00;287.03;f_lane_390.2;-0_0;63.17;0.00;14.23;type_krauss;513.96;417.96
13.00;312.04;f_lane_390.3;-0_0;22.32;0.00;7.04;type_krauss;549.79;399.13
13.00;316.69;f_lane_390.4;-0_0;7.06;0.00;1.96;type_krauss;560.79;388.56
14.00;254.05;f_lane_390.0;-0_0;220.13;0.00;28.39;type_krauss;361.36;390.73
14.00;254.76;f_lane_390.1;-0_0;134.40;0.00;21.14;type_krauss;443.77;414.32
14.00;278.03;f_lane_390.2;-0_0;79.77;0.00;16.60;type_krauss;497.66;421.00
14.00;307.16;f_lane_390.3;-0_0;31.86;0.00;9.54;type_krauss;542.31;405.02
14.00;316.54;f_lane_390.4;-0_0;10.35;0.00;3.30;type_krauss;558.52;390.95
15.00;254.05;f_lane_390.0;-0_0;250.47;0.00;30.34;type_krauss;332.19;382.38
15.00;253.98;f_lane_390.1;-0_0;157.75;0.00;23.35;type_krauss;421.32;407.89
15.00;266.38;f_lane_390.2;-0_0;98.88;0.00;19.12;type_krauss;478.58;421.08
15.00;297.84;f_lane_390.3;-0_0;43.62;0.00;11.76;type_krauss;532.14;410.92
15.00;313.96;f_lane_390.4;-0_0;15.69;0.00;5.34;type_krauss;554.67;394.65
15.00;316.69;f_lane_390.5;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
16.00;254.00;f_lane_390.0;-0_0;282.74;0.00;32.28;type_krauss;301.16;373.49
16.00;254.03;f_lane_390.1;-0_0;183.58;0.00;25.82;type_krauss;396.50;400.79
16.00;258.52;f_lane_390.2;-0_0;120.36;0.00;21.48;type_krauss;457.37;417.83
16.00;290.00;f_lane_390.3;-0_0;57.82;0.00;14.20;type_krauss;519.05;416.38
16.00;311.43;f_lane_390.4;-0_0;22.99;0.00;7.30;type_krauss;549.27;399.55
16.00;316.69;f_lane_390.5;-0_0;6.92;0.00;1.82;type_krauss;560.88;388.46
17.00;254.03;f_lane_390.0;-0_0;314.44;0.00;31.69;type_krauss;270.69;364.77
17.00;254.03;f_lane_390.1;-0_0;211.71;0.00;28.13;type_krauss;369.45;393.04
17.00;254.06;f_lane_390.2;-0_0;144.15;0.00;23.79;type_krauss;434.40;411.64
17.00;279.75;f_lane_390.3;-0_0;74.48;0.00;16.66;type_krauss;502.89;420.26
17.00;307.11;f_lane_390.4;-0_0;31.89;0.00;8.90;type_krauss;542.28;405.04
17.00;316.16;f_lane_390.5;-0_0;11.06;0.00;4.14;type_krauss;558.01;391.44
18.00;254.03;f_lane_390.0;-0_0;346.11;0.00;31.68;type_krauss;240.24;356.05
18.00;253.98;f_lane_390.1;-0_0;241.71;0.00;30.00;type_krauss;340.61;384.78
18.00;254.05;f_lane_390.2;-0_0;170.33;0.00;26.17;type_krauss;409.24;404.43
18.00;270.00;f_lane_390.3;-0_0;93.13;0.00;18.65;type_krauss;484.31;421.44
18.00;298.77;f_lane_390.4;-0_0;42.92;0.00;11.02;type_krauss;532.78;410.61
18.00;313.96;f_lane_390.5;-0_0;17.54;0.00;6.48;type_krauss;553.35;395.93
18.00;316.69;f_lane_390.6;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
19.00;254.05;f_lane_390.0;-0_0;377.93;0.00;31.82;type_krauss;209.65;347.29
19.00;254.03;f_lane_390.1;-0_0;271.33;0.00;29.62;type_krauss;312.13;376.64
19.00;253.99;f_lane_390.2;-0_0;198.25;0.00;27.92;type_krauss;382.39;396.75
19.00;260.72;f_lane_390.3;-0_0;113.76;0.00;20.62;type_krauss;463.84;419.14
19.00;290.26;f_lane_390.4;-0_0;55.51;0.00;12.59;type_krauss;521.23;415.59
19.00;309.37;f_lane_390.5;-0_0;25.96;0.00;8.42;type_krauss;546.98;401.43
19.00;316.69;f_lane_390.6;-0_0;6.84;0.00;1.74;type_krauss;560.94;388.40
20.00;253.99;f_lane_390.0;-0_0;409.86;0.00;31.93;type_krauss;178.96;338.50
20.00;254.05;f_lane_390.1;-0_0;300.99;0.00;29.66;type_krauss;283.62;368.47
20.00;254.03;f_lane_390.2;-0_0;227.14;0.00;28.89;type_krauss;354.62;388.80
20.00;254.39;f_lane_390.3;-0_0;135.70;0.00;21.94;type_krauss;442.53;413.96
20.00;283.37;f_lane_390.4;-0_0;69.94;0.00;14.44;type_krauss;507.36;419.53
20.00;301.80;f_lane_390.5;-0_0;36.82;0.00;10.86;type_krauss;538.09;407.63
20.00;316.21;f_lane_390.6;-0_0;10.97;0.00;4.13;type_krauss;558.08;391.37
21.00;253.51;f_lane_390.0;-0_0;442.09;0.00;32.24;type_krauss;147.99;329.55
21.00;253.99;f_lane_390.1;-0_0;330.54;0.00;29.55;type_krauss;255.22;360.34
21.00;254.03;f_lane_390.2;-0_0;255.95;0.00;28.81;type_krauss;326.92;380.87
21.00;253.98;f_lane_390.3;-0_0;158.98;0.00;23.28;type_krauss;420.15;407.56
21.00;271.92;f_lane_390.4;-0_0;86.32;0.00;16.37;type_krauss;491.12;421.38
21.00;295.28;f_lane_390.5;-0_0;49.63;0.00;12.81;type_krauss;526.71;413.48
21.00;313.96;f_lane_390.6;-0_0;17.41;0.00;6.44;type_krauss;553.44;395.84
21.00;316.69;f_lane_390.7;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
22.00;252.97;f_lane_390.0;-0_0;473.37;0.00;31.27;type_krauss;118.06;320.50
22.00;254.05;f_lane_390.1;-0_0;359.70;0.00;29.16;type_krauss;227.18;352.31
22.00;254.02;f_lane_390.2;-0_0;285.43;0.00;29.48;type_krauss;298.58;372.75
22.00;254.03;f_lane_390.3;-0_0;184.45;0.00;25.47;type_krauss;395.66;400.55
22.00;263.93;f_lane_390.4;-0_0;104.56;0.00;18.24;type_krauss;472.94;420.51
22.00;284.98;f_lane_390.5;-0_0;64.71;0.00;15.08;type_krauss;512.46;418.32
22.00;309.37;f_lane_390.6;-0_0;25.90;0.00;8.49;type_krauss;547.03;401.40
22.00;316.69;f_lane_390.7;-0_0;6.65;0.00;1.55;type_krauss;561.07;388.26
23.00;244.88;f_lane_390.0;-0_0;505.23;0.00;31.86;type_krauss;88.42;308.91
23.00;254.03;f_lane_390.1;-0_0;389.70;0.00;30.00;type_krauss;198.34;344.06
23.00;254.03;f_lane_390.2;-0_0;314.34;0.00;28.91;type_krauss;270.78;364.80
23.00;254.03;f_lane_390.3;-0_0;211.91;0.00;27.46;type_krauss;369.26;392.99
23.00;256.74;f_lane_390.4;-0_0;124.70;0.00;20.14;type_krauss;453.15;416.81
23.00;277.08;f_lane_390.5;-0_0;82.03;0.00;17.32;type_krauss;495.41;421.24
23.00;301.80;f_lane_390.6;-0_0;35.75;0.00;9.85;type_krauss;539.00;407.07
23.00;316.69;f_lane_390.7;-0_0;9.76;0.00;3.11;type_krauss;558.94;390.52
24.00;231.21;f_lane_390.0;-0_0;536.95;0.00;31.72;type_krauss;61.70;291.96
24.00;254.03;f_lane_390.1;-0_0;419.10;0.00;29.40;type_krauss;170.08;335.96
24.00;254.03;f_lane_390.2;-0_0;344.16;0.00;29.81;type_krauss;242.12;356.59
24.00;253.98;f_lane_390.3;-0_0;240.18;0.00;28.26;type_krauss;342.09;385.21
24.00;254.03;f_lane_390.4;-0_0;146.96;0.00;22.27;type_krauss;431.70;410.87
24.00;266.38;f_lane_390.5;-0_0;100.88;0.00;18.85;type_krauss;476.58;420.95
24.00;295.28;f_lane_390.6;-0_0;47.09;0.00;11.34;type_krauss;529.01;412.40
24.00;314.12;f_lane_390.7;-0_0;14.80;0.00;5.04;type_krauss;555.32;394.03
24.00;316.69;f_lane_390.8;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
25.00;222.14;f_lane_390.0;-0_0;568.85;0.00;31.90;type_krauss;38.63;270.00
25.00;253.28;f_lane_390.1;-0_0;449.26;0.00;30.17;type_krauss;141.12;327.48
25.00;254.01;f_lane_390.2;-0_0;374.04;0.00;29.89;type_krauss;213.39;348.36
25.00;254.03;f_lane_390.3;-0_0;268.70;0.00;28.52;type_krauss;314.66;377.36
25.00;254.05;f_lane_390.4;-0_0;171.51;0.00;24.54;type_krauss;408.10;404.11
25.00;258.51;f_lane_390.5;-0_0;121.77;0.00;20.89;type_krauss;455.99;417.54
