timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;316.69;f_lane_390.0;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
1.00;316.69;f_lane_390.0;-0_0;7.60;0.00;2.50;type_krauss;560.42;388.95
2.00;315.42;f_lane_390.0;-0_0;12.41;0.00;4.81;type_krauss;557.04;392.37
3.00;313.96;f_lane_390.0;-0_0;18.80;0.00;6.39;type_krauss;552.44;396.81
3.00;316.69;f_lane_390.1;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
4.00;309.37;f_lane_390.0;-0_0;27.37;0.00;8.58;type_krauss;545.89;402.33
4.00;316.69;f_lane_390.1;-0_0;7.13;0.00;2.03;type_krauss;560.74;388.61
5.00;301.80;f_lane_390.0;-0_0;37.28;0.00;9.91;type_krauss;537.70;407.88
5.00;316.29;f_lane_390.1;-0_0;10.82;0.00;3.69;type_krauss;558.18;391.27
6.00;295.28;f_lane_390.0;-0_0;49.19;0.00;11.91;type_krauss;527.11;413.29
6.00;313.96;f_lane_390.1;-0_0;15.84;0.00;5.02;type_krauss;554.57;394.75
6.00;316.69;f_lane_390.2;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
7.00;286.84;f_lane_390.0;-0_0;63.30;0.00;14.11;type_krauss;513.82;417.99
7.00;311.64;f_lane_390.1;-0_0;22.76;0.00;6.92;type_krauss;549.46;399.40
7.00;316.69;f_lane_390.2;-0_0;7.36;0.00;2.26;type_krauss;560.58;388.77
8.00;278.03;f_lane_390.0;-0_0;79.37;0.00;16.06;type_krauss;498.06;420.95
8.00;306.70;f_lane_390.1;-0_0;32.16;0.00;9.41;type_krauss;542.05;405.18
8.00;315.58;f_lane_390.2;-0_0;12.12;0.00;4.76;type_krauss;557.25;392.17
9.00;266.38;f_lane_390.0;-0_0;97.48;0.00;18.12;type_krauss;479.98;421.17
9.00;297.59;f_lane_390.1;-0_0;43.82;0.00;11.66;type_krauss;531.97;411.00
9.00;313.96;f_lane_390.2;-0_0;19.46;0.00;7.34;type_krauss;551.96;397.27
9.00;316.69;f_lane_390.3;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
10.00;258.52;f_lane_390.0;-0_0;117.55;0.00;20.07;type_krauss;460.13;418.39
10.00;290.00;f_lane_390.1;-0_0;57.39;0.00;13.57;type_krauss;519.46;416.23
10.00;309.37;f_lane_390.2;-0_0;28.52;0.00;9.06;type_krauss;545.00;403.06
10.00;316.69;f_lane_390.3;-0_0;6.57;0.00;1.47;type_krauss;561.12;388.20
11.00;254.08;f_lane_390.0;-0_0;139.17;0.00;21.62;type_krauss;439.19;413.01
11.00;281.19;f_lane_390.1;-0_0;73.13;0.00;15.74;type_krauss;504.23;420.08
