loop1,loop2,loop3,time
0.0,0.0,0.0,0.0
300.0,120.0,0.0,1.0
420.0,300.0,180.0,2.0
300.0,360.0,360.0,3.0
300.0,360.0,240.0,4.0
300.0,300.0,360.0,5.0
300.0,300.0,300.0,6.0
300.0,240.0,360.0,7.0
300.0,360.0,180.0,8.0
240.0,300.0,420.0,9.0
300.0,240.0,300.0,10.0
240.0,300.0,300.0,11.0
240.0,240.0,240.0,12.0
240.0,360.0,240.0,13.0
240.0,180.0,300.0,14.0
300.0,240.0,240.0,15.0
240.0,300.0,240.0,16.0
300.0,240.0,240.0,17.0
240.0,240.0,240.0,18.0
240.0,240.0,240.0,19.0
240.0,240.0,300.0,20.0
240.0,240.0,180.0,21.0
240.0,240.0,240.0,22.0
240.0,240.0,240.0,23.0
240.0,240.0,300.0,24.0
240.0,240.0,300.0,25.0
360.0,240.0,180.0,26.0
240.0,240.0,300.0,27.0
240.0,240.0,240.0,28.0
240.0,300.0,180.0,29.0
240.0,240.0,240.0,30.0
240.0,240.0,360.0,31.0
240.0,240.0,180.0,32.0
240.0,300.0,360.0,33.0
240.0,240.0,120.0,34.0
240.0,240.0,360.0,35.0
240.0,240.0,240.0,36.0
240.0,240.0,240.0,37.0
240.0,360.0,180.0,38.0
240.0,180.0,300.0,39.0
240.0,300.0,180.0,40.0
240.0,240.0,300.0,41.0
240.0,240.0,240.0,42.0
180.0,180.0,240.0,43.0
180.0,180.0,180.0,44.0
180.0,180.0,180.0,45.0
240.0,180.0,180.0,46.0
180.0,180.0,180.0,47.0
180.0,180.0,180.0,48.0
300.0,180.0,180.0,49.0
180.0,180.0,180.0,50.0
180.0,180.0,180.0,51.0
120.0,180.0,180.0,52.0
120.0,120.0,180.0,53.0
120.0,120.0,180.0,54.0
120.0,120.0,120.0,55.0
120.0,120.0,60.0,56.0
120.0,120.0,180.0,57.0
120.0,120.0,180.0,58.0
120.0,120.0,0.0,59.0
120.0,180.0,180.0,60.0
120.0,120.0,180.0,61.0
120.0,120.0,120.0,62.0
120.0,180.0,60.0,63.0
120.0,120.0,180.0,64.0
120.0,120.0,120.0,65.0
120.0,120.0,120.0,66.0
120.0,120.0,120.0,67.0
120.0,120.0,120.0,68.0
120.0,120.0,120.0,69.0
120.0,120.0,120.0,70.0
120.0,120.0,120.0,71.0
240.0,120.0,120.0,72.0
120.0,120.0,120.0,73.0
120.0,120.0,240.0,74.0
120.0,120.0,120.0,75.0
120.0,120.0,120.0,76.0
120.0,120.0,120.0,77.0
120.0,120.0,180.0,78.0
120.0,120.0,120.0,79.0
120.0,120.0,60.0,80.0
120.0,120.0,180.0,81.0
120.0,120.0,120.0,82.0
