timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
30,90,f_0.10,E0_0,5.1,0,0,DEFAULT_VEHTYPE,5.1,-4.8
31,90,f_0.10,E0_0,7.54,0,2.44,DEFAULT_VEHTYPE,7.54,-4.8
32,90,f_0.10,E0_0,12.1,0,4.56,DEFAULT_VEHTYPE,12.1,-4.8
33,90,f_0.10,E0_0,18.65,0,6.55,DEFAULT_VEHTYPE,18.65,-4.8
34,90,f_0.10,E0_1,27.65,0,8.99,DEFAULT_VEHTYPE,27.65,-1.6
35,90,f_0.10,E0_1,38.11,0,10.46,DEFAULT_VEHTYPE,38.11,-1.6
36,90,f_0.10,E0_1,49.88,0,11.77,DEFAULT_VEHTYPE,49.88,-1.6
37,90,f_0.10,E0_1,61.13,0,11.25,DEFAULT_VEHTYPE,61.13,-1.6
38,90,f_0.10,E0_1,72.9,0,11.77,DEFAULT_VEHTYPE,72.9,-1.6
39,90,f_0.10,E0_1,84.2,0,11.3,DEFAULT_VEHTYPE,84.2,-1.6
40,90,f_0.10,E0_1,96.06,0,11.86,DEFAULT_VEHTYPE,96.06,-1.6
41,90,f_0.10,E0_1,107.05,0,11,DEFAULT_VEHTYPE,107.05,-1.6
42,90,f_0.10,E0_1,117.97,0,10.92,DEFAULT_VEHTYPE,117.97,-1.6
43,90,f_0.10,E0_1,129.67,0,11.71,DEFAULT_VEHTYPE,129.67,-1.6
44,90,f_0.10,E0_1,140.86,0,11.19,DEFAULT_VEHTYPE,140.86,-1.6
45,90,f_0.10,E0_1,152.85,0,11.99,DEFAULT_VEHTYPE,152.85,-1.6
46,90,f_0.10,E0_1,164.46,0,11.61,DEFAULT_VEHTYPE,164.46,-1.6
47,90,f_0.10,E0_1,175.64,0,11.18,DEFAULT_VEHTYPE,175.64,-1.6
48,90,f_0.10,E0_1,187.5,0,11.86,DEFAULT_VEHTYPE,187.5,-1.6
